Name,Skills,College,Degree,Field,Company,Position
Kabir Jain,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Neha Joshi,"Python, Java, Visual Basic, Windows, Linux, HTML, CSS, Javascript, PHP, SQL, NodeJS, App development (Android and iOS), User centered design, Algorithms and data structures, Basic processor design, Electronic circuit analysis","University of York, Egerton Grammar School","MEng Computer Science, A Level","Computer Science,","University of York, Study Support Centre, Boots, Gateshead","Student Ambassador, Tutor, Sales Assistant"
Ishaan Das,"Big Data, Hadoop, Hive, Python, Mapreduce, Spark, Java, Machine Learning, Cloud, Hdfs, YARN, Core Java, Data Science, C++, Data Structures, DBMS, RDBMS, Informatica, Talend, Amazon Redshift, Microsoft Azure","The Amity School of Engineering & Technology (ASET), Noida",B.Tech,Electronics,Coca-COla,Big Data Analyst
Kabir Bose,"JavaScript (Angular), HTML/ CSS, Python (Django), SQL (PostgreSQL, Oracle), REST APIs, Git",University of Illinois Chicago,B.S.,Computer Science,Book of the Month,Web Developer Intern
Meera Gupta,"ProEngineer/CREO, MiniTab, MS Office Suite, MS Project, MS Visio, Injection Molding, Trackwise, Catsweb, Manufacturing, Assembly, Automation, Budget, Calibration, CNC, Coaching, Stat Graphics, Process Engineering, Manufacturing process development and improvement, Manufacturing yield improvement, CIP","UNIVERSITY OF VIRGINIA, COLBY COLLEGE","Master of Science, Bachelor of Arts","Mechanical Engineering, Physics and Biology","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Manager, Quality Engineering, Senior Engineer II, Senior Engineer I, Process Engineer II, Research Engineer, Patent Examiner, Graduate Research Assistant"
Ananya Sharma,"iFixit Pro Tech Toolkit, PassMark MemTest86, Malwarebytes, Recuva, Ultimate Boot CD (UBCD), Windows Installation USB/DVD, TeamViewer, Driver Booster, Falcon Dust-Off Compressed Gas Duster, Fluke 115 Compact True-RMS Digital Multimeter",DeVry University,Associate of Applied Science,Electronics and Computer Technology,"YZA Technologies, Sherwin-Williams, OhioHealth","Computer Repair Technician, Computer Technician, Help Desk Technician"
Priya Reddy,"Mathematical modelling, Machine Learning, Predictive Analysis, Artificial Intelligence, AWS deployment, Data gathering, Data Mining, Python",Sanghvi College of Engineering,B.Tech,,BPM Foundation,Data Manager
Aarav Ghosh,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Neha Nair,"QuickBooks, Sage, Lacerte, Intuit ProSeries, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft Outlook, Microsoft Power Pivot, Microsoft PowerPoint, CalBench, FASB & GAAP standards, Sarbanes-Oxley, Generally Accepted Auditing Standards","LIU, Hunter College","Master of Science, Bachelor of Science","Taxation, Accounting","Company Name, Company Name, Company Name, Company Name","Accountant, Accounting Assistant, Stock Clerk, Restaurant Operations Manager"
Ishaan Joshi,"accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings, book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance, financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end","University of North Carolina, N/A","Bachelor of Science, Bachelor of Science","Accounting, Business Administration Finance","Company Name, Company Name, Company Name, Company Name","Staff Accountant, Staff Accountant, Staff Accountant, Financial Management Partner"
Sara Nair,"Operations management, Change management, Inventory control, Policy/program development, Supervision and training, Sound judgment, Computersavvy, Calm under pressure, Complex problem solving, Motivational, Continuous Improvement, Out of the box thinking, Analytical and logical, Strong Leadership skills, Lean Manufacturing and Management, Six Sigma tools and methodologies, RCM, FMEA, DMAIC, PFD, Six Sigma Certified, Microsoft Office 2003-2011, Microsoft Visio, 2008-2010, Business Objects, SAP, Apple Lion, Pages, Keynote, Numbers, Microsoft Access 2010, Visual Studio 2008-2010, Microsoft Project, Netbeans, TextPad, SQL Server 2008, PowerSteering, Tango, HTML, Css, Java, Java Script, C++, VB.NET, ASP.NET, Web Design 1, Web Design 2, Algorithms, Software Engineering, VB.NET, ASP.NET, Apple, Budget Management, Business Objects, C++, Calculator, Coach, interpersonal skills, Continuous Improvement, Css, client, customer relations, customer service, documentation, Facilities Management, Financial Reporting, GUI, HTML, Human Resource Management, HR, Inventory, inventory levels, Inventory Control, Java, Java 1, Java 2, Java Script, Leadership skills, Lean Manufacturing, managing, manufacturing process, materials, Microsoft Access, Microsoft Office, Microsoft Project, Microsoft Visio, Works, personnel, policies, problem-solving skills, processes, project management, Purchasing, quality, maintain records, re-engineering, repairs, reporting, safety, SAP, Six Sigma, Software Engineering, software training, SQL Server, supervision, supply chain, supply chain management, Tango, user support, Visual Studio, water treatment, Web Design 1, Web Design 2, websites","McFord University, McFord University, University Of Phoenix College","B.S, M.S, B.S.I.T","Mechanical Engineering, Electrical Engineering, Software Engineering","Company Name, Company Name, Company Name","Corporate Process/Systems Engineering Manager, SDI Site Operations Manager, Operations Group Manager"
Aanya Sharma,"Statistical Analysis, C, OpenCV, Deep Learning, Computer Vision, R, Exploratory Data Analysis, Linear Regression, Logistic Regression, Risk Analyst, Machine Learning, Financial Risk Management","DBB University, Himachal",B.Tech,IT,HSBC Bank,Data Analyst
Saanvi Das,"Live Electrical, Arc Flash, Lock-Out/Tag-Out, ESD, functional testing, test equipment repair and operation, troubleshooting, ISO-9001 standards, electrical equipment operation, Mechanical repair, oil servicing, Power Generation, soldering, electrical component repair, safety awareness, schematics, blueprints, drawings, various testing equipment, equipment/wiring installation, solenoid/valves, PC repair, fabrication, well organized, self motivated, excellent written and verbal communication skills","Embry Riddle Aeronautical University, Pueblo High School","Bachelor of Science, Diploma","Professional Aeronautics, N/A","Company Name, Company Name, Company Name, Company Name","Engineering Technician III, Generator Test Technician III, Unmanned Aerial Vehicle (UAV) Maintenance Technician, Electrical Power Generation Equipment Repairer Technician"
Krishna Reddy,"Business to Business, Business to Customer, Contract Negotiation, Calm Under Pressure, Account Management, Total Quality Management, P&L Management, Business Development",Grambling State University,Bachelor of Science,Business Management,"Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Business Development Manager, Senior Student Loan Consultant, Territory Sales Manager, Route Sales Associate, Skill Trainer, Production Manager, Shift Manager"
Tanya Singh,"Data science, Deep learning, Neural Networks, Artificial Intelligence, Natural Language Processing, Pattern Recognition, Machine Learning, Predictive Analytics, Logistic regression","St. Subhash College, Hyderabad",B.CA,,BB House of Developers,Intern Trainee
Diya Chauhan,"Analytical reasoning, Compliance testing knowledge, Effective time management, Public and private accounting, accounting, accounting systems, accounts payable, accounts receivable, administrative, AR, billing, closing, client, clients, documentation, financial, financial reports, preparation of financial reports, Preparation of financial statements, fixed assets, managing, month-end closing, policies, maintain records, reporting, Research, sales, tax, taxes, tax returns, annual reports, year-end",Kent State University,Bachelor of Business Administration,Accounting,"Company Name, Company Name, Company Name, Company Name, Company Name","Staff Accountant, Senior Accountant, Tax Analyst, Staff Accountant II, Staff Auditor II"
Aditya Joshi,"accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings, book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance, financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end","University of North Carolina, N/A","Bachelor of Science, Bachelor of Science","Accounting, Business Administration Finance","Company Name, Company Name, Company Name, Company Name","Staff Accountant, Staff Accountant, Staff Accountant, Financial Management Partner"
Neha Mehta,"Microsoft office Suite (2013), Reading Schematics, Troubleshooting, Problem solving, Lean Manufacturing, Inventory, Government Sell-Offs, Critical Thinking, Effective Multitasking, Deadline Compliance, Works well under pressure, Highly responsible and reliable, Establishing goals and setting priorities, Team player, Initiative to work independent","Northern Essex, Hesser College","Associate of Science, Associate Degree","Electronic Technology Engineering computer System, Paralegal Studies","Company Name, Company Name, Company Name","Engineering Technician, Thermal Technician, Technical Support Specialists"
Aarav Bose,"Brand development, Analyzing market trends, Established track record of exceptional sales results, Account Management, Excellent negotiating tactics, Skilled multi-tasker, SalesForce lead management, Strong interpersonal skills",Miami Dade College,Marketing Management Real Estate,Marketing Management Real Estate,"Company Name, Company Name, Company Name, Company Name","Business Development Executive, Solutions Analyst, Product Marketing Specialist, Project Coordinator/ Sales"
Riya Kapoor,"ASP.NET 4.5, academic, Clustering, consulting, curriculum development, customer satisfaction, data analysis, data mining, data warehouse, Databases, database, database design, database management, data warehousing, environmental protection, Environmental Science, GIS, HTML, instructor, Lecturer, legal, machine learning, managing, materials, meetings, C#, Microsoft SQL, modeling, Natural, Oracle, process development and engineering, processes, progress, Python, quality, researching, research, SAS, shipping, SPSS, SQL, Statistics, Tableau, teaching, technical support, workshops","University of New Hampshire, UNESCO-IHE, Debub University","Master of Science, Master of Science, Bachelor of Science","Analytics, Environmental Science and Technology, Resource Management","Company Name, Company Name, Company Name","Engineering and Quality Technician, Lecturer in Environmental Science and Technology, Assistant Lecturer in Natural Resource Management"
Saanvi Rao,"C, C++, Python, JAVA, HTML, CSS, JavaScript, Data Structures, SQL, PyCharm, Jupyter Notebook, Google Colab, Code Blocks, MATLAB, Turbo C++, MS Office, Scikit-Learn, TensorFlow, OpenCV, NumPy, Pytesseract, Keras","Dayalbagh Educational Institute, Dayalbagh, Agra, St. Clares Senior Secondary School, Agra, St. Clares Senior Secondary School, Agra","B.Tech. (Electrical Engineering Specialization in Computer Science), XII, X","Electrical Engineering Specialized in Computer Science, N/A, N/A","Genisup India Pvt. Ltd., VUGS Technologies","Intern, Intern"
Saanvi Chauhan,"Exceptional time management, Operational analysis, Root cause analysis, Technical plan execution aptitude, Highly dependable, Detail-oriented, Strong leader, Manufacturing process controls, Proficient in SolidWorks, Decisive, Product improvement, A+, client server, hardware, computer networks, Computer sales, clients, database, desktops, Documentation, functional, HP, HP NetServers, Inventory management and Control, laptops, marketing, materials, Windows, windows XP, Migration, network printers, network, NICs, operating systems, OS, progress, Protocols, Purchasing, QA, RAID, repairs, repairing, servers, specification, Technical Support, Troubleshoot, Troubleshooting, Upgrading, usability testing, validation, Vista","San Jose State University, Mission College","Bachelor of Science, A.S","Electronics Engineering Technology, Computer Science","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Technician, Quality Analyst/Document Control Specialist, IT Associate, Test Technician, Computer/Network Instructor, Network Systems QA Tester, Quality Assurance Technician, QA Tester"
Karan Chopra,"HTML, CSS, JavaScript (Angular), Python, Git, Algorithm Design, Technical Writing, Data Analysis, Interpersonal Communication, Patience","Princeton International School of Mathematics and Science, New York University","Master of Science, Bachelor of Science","Computer Science, Computer Science","Princeton International School of Mathematics and Science, HKA Enterprises, Academy of Mine","Computer Science Teacher, Software Engineer, Junior Software Engineer"
Sara Joshi,"Microsoft Word/Excel, Great Plains Dynamics, BI360 (BusinessIntelligence Tool), Keane Care",MERCY COLLEGE,Bachelor of Science,Accounting,"Company Name, Company Name, Company Name, Company Name","Senior Accountant, Senior Accountant, Senior Accountant, Controller"
Ishaan Ghosh,,"University of Warsaw, University of Warsaw","Ph.D., M.S.","Computer Science, Computer Science","University of Kentucky, University of Kentucky, University of Kentucky, University of Kentucky, Columbia University, Columbia University, Columbia University, University of Warsaw, University of Warsaw","Professor Emerytus, Professor, Director of Graduate Studies, Associate Professor, Associate Professor, Assistant Professor, Visiting Assistant Professor, Assistant Professor, Teaching and Research Assistant"
Vihaan Chauhan,"Delivery, ergonomics, Lighting, Paint, PLC, PLC 5, power distribution, producing, programming, Project Management, Robotic systems, safety, troubleshooting, Vision Systems","Central Alabama Community College, Talladega High School","Associates Degree, High School Diploma","Applied Science Electronics Technology, N/A","Company Name, Company Name, Company Name","Engineering Specialist, Industrial Electrician, Operator"
Ishaan Singh,,"Portland State University, University of Pittsburgh","M.S., B.S.","Computer Science, Computer Science","FreshDirect, Marketing Science Associates","Full Stack Engineer Intern, Full Stack Engineer Intern"
Saanvi Singh,"Analytical reasoning, Compliance testing knowledge, Effective time management, Public and private accounting, accounting, accounting systems, accounts payable, accounts receivable, administrative, AR, billing, closing, client, clients, documentation, financial, financial reports, preparation of financial reports, Preparation of financial statements, fixed assets, managing, month-end closing, policies, maintain records, reporting, Research, sales, tax, taxes, tax returns, annual reports, year-end",Kent State University,Bachelor of Business Administration,Accounting,"Company Name, Company Name, Company Name, Company Name, Company Name","Staff Accountant, Senior Accountant, Tax Analyst, Staff Accountant II, Staff Auditor II"
Tanya Das,"Machine Learning, Data Analytics, Project Management, Software Development, Agile Methodology, Business Growth",Bhubaneshwar Institute of Technology,B.tech,Electrical Engineering,"Cognizant, Cognizant","Consultant, Software Developer Analyst"
Aarav Das,"Machine Learning, Deep Learning, Computer Vision, Pattern Recognition, Image Processing, Image Segmentation, Python, Ruby, PILLOW, OpenCV",JT University,B.Tech(Computers),Computers,Brane Enterprises Pvt LTD,Computer Vision Engineer
Aisha Sinha,"GIS, lighting designs using Visual Professional, Access, Excel, Microsoft Office, Power Point","University of South Florida, Hillsborough Community College","Bachelors, Associates Degree","Information Technology, N/A","Company Name, Company Name, Company Name, Company Name","Lighting Field Engineering Technician, Administrative Technical Aide, Customer Service Professional, Business Cooperative Education Student- Customer Care"
Vihaan Ghosh,"Data Scientist, Data Analyst, Software Development, Machine Learning, Natural Language Processing, Business Solutions, Process Flow, Logistic Regression, MySQL, MongoDB, Python, PowerBI, Hadoop","Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal",B.E. (Data Engineering),Data Engineering,United Health Group,Data Scientist
Saanvi Kapoor,"Business Analyst, Data Analytics, Data Cleansing, Business Analysis, Risk Analysis, Statistical Analysis, Deep Learning, Machine Learning, Python, Numpy",PGG College Mysore,B.BA,,ZigSAW,SDE and Business Analyst Trainee
Neha Chauhan,"Academic, AutoCad, banking, basic, Calculus, credit, database, Database Management System, Engineer, Experiments, GUI, LASER, layout, Materials, MATLAB, Mechanical Engineering, Excel, Microsoft Office, Outlook, Power Point, Word, MySQL, Optimization, Physics, Police, progress, Research, Retail, Scheduling, Statistics, VBA, website","Arizona State University, University of Mumbai","Master of Science, Bachelor of Engineering","Industrial Engineering, Mechanical Engineering","Company Name, Company Name, Company Name","Mechanical Engineering Tutor, Assistant Professor, Intern"
Karan Sharma,"Machine Learning, Deep learning, Logistic Regression, k-means clustering, LSTM, Emperical Modelling",Inderprastha Engineering College Ghaziabad,B.Tech(Computers),Computers,Absolutdata Research & Analytics,Machine Learning Intern
Kabir Gupta,"Python Developer, Django, Flask, Data Science, Spark, PySpark, Machine Learning, Data Modelling, Natural language Processing, SVM, Computer Vision, Neural Networks.",NIT Jaipur,B.Tech,,TRDDC,Junior Developer
Ishaan Kapoor,"Account Reconciliation, Accounting, Accounts Payable, Accounts Receivable, AR, Billing, Budget, Cash Handling, Closing, Coaching, Communication Skills, Contracts, Credit, Customer Service, Financial, Forms, General Ledger, General Ledger Accounts, Grants, Groupwise, Instructing, Mentoring, Merchandising, Microsoft Office, Outlook, Organizational Skills, Packaging, Policies, Pricing, Public Speaking, Purchasing, Receiving, Reconciling, Research, Spreadsheets, Team Player, Time Management, Year-End","Prairie View A & M University, University of North Texas, University of North Texas","BBA, BBA, MBA","Accounting, Finance, Strategic Management","Company Name, Company Name, Company Name, Company Name, Company Name","Accountant III, Assistant Accountant, Accounting Clerk B, Accounting Instructor, Student Accounts Representative/Bookkeeper"
Vikram Malhotra,"MS Office, Minitab, PowerPoint, Excel, Solid works, AutoCAD, Pro E, MS Access, SAP, Java, C, C++, Visual Basic, R, Python, AutoCAD, C, C++, Calibration, charts, data analysis, Database, designing, documentation, Forecasting, IMS, inspection, inventory, ISO, ISO 9001, Java, Lean Manufacturing, MS Access, Excel, MS Office, PowerPoint, Minitab, process improvement, Programming, Python, quality, safety, SAP, SAP R/3, Scheduling, Siemens, Solid works, SOP, Strategy/planning, supervising 4, Visual Basic, reduce waste","University of Texas, Mumbai University","Masters of Science, Bachelor of Engineering","Industrial Engineering Production & Inventory management, Production Engineering Manufacturing, Planning and Supply Chain","Company Name, Company Name, Company Name","Industrial Engineering Intern, Junior Engineer, Intern"
Aanya Joshi,"SolidWorks 2005, Electrical drafting, Tube furnaces, administrative, cash receipts, customer service, directing, instruction, inventory, leadership, logistics, machinery, marketing, mentoring, natural gas, organizing, personnel, police, progress, promotion, proposals, quality, quality control, reading, reconciling, risk management, safety, sales, supervisory, supervision",LOUISIANA STATE UNIVERSITY,Bachelor of Science,Petroleum Engineering,"Company Name, Company Name, Company Name, Company Name","Engineering Intern, Field Engineering Intern, Assistant Service Manager, Non-Commissioned Officer"
Aditya Bose,"Maintenance, Corrective Maintenance, Documentation, Industrial Machinery, Preventive Maintenance, Sensors, Biotechnology, Electrical Mechanical, Estimation, Hydraulics, Mechanical Technician, Pneumatics, Project Manager, Sop, Manufacturing Process, Apqp, Assembly, Circuit Boards, Dmm, Electrical Test, Esd, First Article Inspection, Inspection, Medical Devices, Oscilloscope, Production Process, Schematic, Soldering, Surface Mount, Test Engineer, Through-hole, Wiring, Calibration, Control Systems, Packaging, Process Control, Sensor, Temperature, And Humidity, Control System Design, Electrical Engineer, Engineer, Entry Level, Ieee, Mechanical/electrical Engineer, Proactive, Self Motivated, Testing, Training, Electrical Engineering, Pr, Public Relations",POLYTECHNIC UNIVERSITY OF PUERTO RICO,Bachelor of Science,Electrical Engineering,"Company Name, Company Name, Company Name","Engineering Technician, Instrument Technician, Project Manager Assistance"
Aditya Das,,Strayer University,Bachelor of Science,Accounting,"Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Director of Finance & Accounts, Training & Operations Consultant, Franchisee, General Manager, Patient Service Representative"
Krishna Sinha,"Machine learning, Deep learning, Python, NLP, Computer vision, Image processing, SQL, Data analysis, Big Data, Spark, Apache hive, Apache pig, Tensorflow, Sklearn, Data visualization, Data science","Darjeeling Engineering College, Calcutta University","B.Tech, M.Tech",", Big data analytics",JumpStart,Intern Trainee
Krishna Malhotra,"Technical Support, Telecom Support, Networking Support, Software/PC/LAN Troubleshooting, Installing, Configuring, Troubleshooting Windows, Linux and OS X, Installing, Configuring, Troubleshooting SoHo Networks, Creating & Updating documentation, Software Installation, configuring, and Troubleshooting, Implementing, Configuring network and End User Security, Mobile device Support, Printer Support, CLI Knowledge, VOIP, Video Chat Support, Critical Thinking with Root Cause Analysis, Encryption, File Structures, Network Protocols, AAA Security Model, Accounts and Group policy, Browser Support, Operating Systems: Windows 7-10, Ubuntu 14.04, OS X 10.8-10.11, ChromeOS, iOS9, Android, Applications: MS Office 2010-2016 (Word, Excel, PowerPoint, Outlook), Google Apps (Drive, Docs, Sheets, Slides, Keep, Forms, Sites), Google Drive Sync Client, Internet Explorer, Firefox, Chrome, Safari, Edge, OpenVPN, Wireshark, Sublime Text, MSRA, Microsoft RDP, OpenSSH, Puppet, SCCM 2012 iOS-MDM, Networking: TCP/IP, DNS, DHCP, LAN/WAN, VPN/Remote Connectivity - OpenVPN, some basic Cisco iOS, Microsoft Virtual PC/Hyper-V, TeamViewer, Terminal Services, Netgear, Linksys, Firewall, Ports, experience in Routing & Switching (OSPF / BGP / VLAN / STP), Hardware: Dell, HP, IBM/Lenovo, Apple, Microsoft, desktop, laptops. Android Smartphones tables, and wearables. iPhones and iPads. Printers, Routers, Switches, Modems, Wireless Routers, Video Conferencing equipment (TV, Projectors, Microphones, Speakers), Security: Basic knowledge of IPSEC / SSL-VPN / NAT / GRE, some experience with Authentication Protocols (Radius / TACACS), Strong desire to learn more, A+, Active Directory, Antivirus, Apple, Bash, Basic, BGP, CAD, call center, CCNA, CD-ROM, CLI, Cisco iOS, Cisco, com, Hardware, computer hardware, Council, Critical Thinking, Encryption, Client, Dell, DHCP, documentation, DNS, Edge, email, Firewall, Forms, Help Desk Support, HP, IBM, Insurance, Internet Explorer, LAN, laptops, Linux and OS, Linux, access, Excel, mail, Microsoft Office, MS Office, Outlook, PowerPoint, Windows 7, Microsoft Windows, Windows, Word, Modems, MSI, Networking I, Network, Networking, Networks, Operating Systems, OS, OSPF, policies, Printer, Printers, Protocols, Python, Routers, Routing, scripting, Software Installation, SolidWorks, SSL, Switches, system administration, tables, TCP/IP, TV, troubleshooting I, Troubleshooting, Video, Video Conferencing, VPN, VOIP, WAN",,,,"Company Name, Company Name","Corporate Engineering Support Technician, Help Desk Support Analyst II"
Riya Rao,"Machine Learning, Text Analytics, Software Development, Data Analysis, Python, Java, JavaScript, Matplotlib","Dr. Nidhiram Goyal Engineering College, Murshidabad",B.Tech,CSE,RNT Laboratories,Intern Trainee
Ananya Sinha,"Machine Learning, Natural Language Processing, Deep Learning, Business Analysis, Python, Numpy, Pandas, Scikit Learn, Tensorflow, Keras, PySpark",Sl Thala Model college,B.Tech,,SaiKo Computation,Data Processing Junior Intern
Arjun Sharma,"Adobe, Customer Relations, Document reports, Budgeting, Cross-functional Team Leadership, Business Analysis, Access, Microsoft Project, Organization, Advanced Presentation, Project Coordinator, Python, Quality Control, Quality Assurance, Research, Developing other Business Analyst, Public Speaking, Negotiation, SAP, SQL, SPSS, Oracle, Fast Learner, Strong Requirement tracing, Basic financial and operational reporting, Superb communication skills, Advanced problem solving abilities",University of Miami,Bachelor of Arts,Economics and Pre-Law,"Company Name, Company Name, Company Name","Business Development Analyst, Documentation Analyst, Data Analyst (Intern)"
Meera Bose,"Analytical reasoning, Budget forecasting expertise, Account reconciliation expert, Financial planner, Effective time management, Advanced computer proficiency (PC and Mac), Strong organizational skills, Excellent managerial techniques, Microsoft Windows, Word, Excel, PowerPoint, Access, Adobe, Mac iOS, QuickBooks Pro 2015/2016/2017, Profit Pluss 2k8, SAP, Lacerte, ComplyRight, Real Estate P.M.A.S., AppFolio, ADP Ezlabor, ADP Payroll","Andr s Bello Catholic University, Andr s Bello Catholic University, Saint Anthony of La Florida, Fred Pryor Seminars & Career Track, KPMG, Andr s Bello Catholic University","BBA, Course, High School Diploma, Seminar, Seminar, Seminar","Accounting, Informatics Engineering, Science, California Payroll Law, Tax Planning and Prepaid Taxes, SAP","Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Bookkeeper, Controller Assistant, Controller"
Meera Jain,"Academic, Documentation, Edge, Fiber optics, Laser, Mechanical, Scanning","University of Washington, National Taiwan University, National Central University Taiwan","Ph. D, M. S, B. S","Mechanical Engineering, Bio-Industrial Mechatronics Engineering, Mechanical Engineering","N/A, N/A, N/A","Process Engineering Intern, Research Assistant, Graduate Researcher"
Diya Chopra,"Excellent communication techniques, Engineering standards expert, Complex problem solver, Advanced critical thinking, Microsoft Excel, Project and Visio, Engineering operational functions, Multidisciplinary exposure, Project management, Advanced engineering knowledge, Troubleshooting specialist, Initiative to work independently, Strategic thinker, Quality inspection professional, Strong collaborative skills, Document management testing, Patient and diligent, MS Office proficiency, Google Documents, 5S expert, Safety member, Validation process specialist, Calibration, Chemical Engineering technician, documentation, Engineering Management, equipment inventory, inspection, Maintain inventory, Materials, processes, safety, SOP, staffing, Supervision, technical support, Technician, troubleshooting, validations","Saint Petersburg College, Arizona State University, Chemical and Textile School Sanski Most","ESOL Program, Bachelor of Science, Associate of Science","ESOL, Engineering Management, Chemical Technician","Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Technician II, HMC HC Laboratory Assistant III, Hard Coating Technician, Surfacing lab technician, Monogram Operator"
Priya Joshi,"Business Strategy, Consulting, Excel, Capital Markets, Investment Banking, Investment Research, Statistics, Strategy Consulting, VBA, Python, MATLAB, Machine Learning","UNIVERSITY OF DELHI, DELHI",B.Tech,Computers,"GDMNS, EluCIDATA","Strategy Analyst, Data Scientist"
Arjun Mehta,"Data Analyst, Machine Learning, Data Mining, Data Science, Natural Language Processing, Data Visualization, Data Analysis","Sai Charan Singh University, Ludhiana, Sai Charan Singh University, Ludhiana","B.Tech, M.Tech","Bio-Tech, Data Science",Telco,Trainee Intern
Saanvi Jain,,Strayer University,Bachelor of Science,Accounting,"Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Director of Finance & Accounts, Training & Operations Consultant, Franchisee, General Manager, Patient Service Representative"
Aisha Nair,"Data Science, Data Analysis, Data Structures, Data Warehousing, Data Visualization, Data Mining, Machine Learning, Artificial Intelligence, Linear Regression, MongoDB, Python, Django, Java, SQL, C++","Anna University, Imarticus Learning","B.Tech, Masters Diploma","Computers, Analytics And Artificial Intelligence",Impiger Technologies,Junior Research Fellow
Aditya Kapoor,"Business Strategy, Consulting, Excel, Capital Markets, Investment Banking, Investment Research, Statistics, Strategy Consulting, VBA, Python, MATLAB, Machine Learning","UNIVERSITY OF DELHI, DELHI",B.Tech,Computers,"GDMNS, EluCIDATA","Strategy Analyst, Data Scientist"
Karan Reddy,"Account reconciliation, accounting, general accounting, accounting software, accounts payables, accounts receivables, A/P, Arabic, Balance sheet, bank reconciliations, banking, billing, bookkeeping, budgeting, budgets, budget, closing, Strong communication skills, Controller, client, clients, documentation, English, Equity, finance, financial, financial analysis, analyze financial statements, financial statements, prepare financial statements, Fixed Assets, forecasting, general ledger, GL, inventory, Investments, ledger, market, Access, Excel, Outlook, PowerPoint, MS Word, monitors, organizational, payables, payroll, personnel, problem solving, processes, Profit, Profit and loss account, Public Accounting, Express, QuickBooks, reporting, Sales, supervision, Swedish, Tax, tax returns, year-end","Walsh College, Stockholm University, Al Turath University, Svenskab rsrum Institute","Master of Accountancy, Bachelor of Accountancy Degree, Bachelor of Accountancy, Certificate of Business Administration","Accounting, N/A, N/A, N/A","Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Accounting Manager, Staff Accountant Finance Manager"
Krishna Joshi,"Python, Java, Visual Basic, Windows, Linux, HTML, CSS, Javascript, PHP, SQL, NodeJS, App development (Android and iOS), User centered design, Algorithms and data structures, Basic processor design, Electronic circuit analysis","University of York, Egerton Grammar School","MEng Computer Science, A Level","Computer Science,","University of York, Study Support Centre, Boots, Gateshead","Student Ambassador, Tutor, Sales Assistant"
